,cad_recursive_linear_residue,aud_recursive_linear_residue,gbp_recursive_linear_residue
2012-07-19,0.002741389271246014,0.006214445324595868,0.004659489237150967
2012-07-20,-0.005032451638648752,-0.004652795142687885,-0.006593506107433015
2012-07-23,-0.0060763100306555195,-0.01147519212075201,-0.007166106198335712
2012-07-24,-0.003349967889651379,-0.0036533220394163127,0.0002537750886742609
2012-07-25,0.006639757450527918,0.008436468426936622,-0.000445763572530229
2012-07-26,0.005384927301892429,0.008751646660397796,0.012206815349422013
2012-07-27,0.00676175394838701,0.008295214193822597,0.0035423404209814742
2012-07-30,0.0015212383528580085,0.0019636528894229188,-0.0024780434186736154
2012-07-31,-0.001385814270053943,5.761971922020429e-05,-0.0018897776735475316
2012-08-01,-0.0023928116909641118,-0.003949254559794295,-0.00896197591518125
2012-08-02,-0.001794040654683501,0.00043991925555941606,-0.0009791092232348984
2012-08-03,0.006043483697080029,0.009946451848467394,0.00813796878958806
2012-08-06,0.001118379774048268,5.761971922020429e-05,-0.002569717425122711
2012-08-07,0.003312778953636809,-0.0013626333245140097,0.0013005877183811696
2012-08-08,0.002705593892092082,0.001667087522270105,0.0022675055038363975
2012-08-09,0.0031940506594116836,0.0009086433628476605,-0.0011573610730172621
2012-08-10,1.7554043667243112e-05,-0.000225974365017265,0.00342646116017971
2012-08-13,-0.001470172489103502,-0.005631217088804251,-0.0004257658758421895
2012-08-14,0.0002160455091859269,-0.002608286839204459,-0.0003654428110666594
2012-08-15,0.0029902078379272622,0.0015818650367171502,0.0004657703177140398
2012-08-16,0.0028827439699797824,0.0006286132634737412,0.0032383857766872122
2012-08-17,-0.002748699449223027,-0.008637671796776167,-0.0023295041178709227
2012-08-20,0.0009075417414729106,0.0023582342308817155,0.0011001599784456382
2012-08-21,-0.0007735070081656846,0.004166363734605832,0.004798142500454837
2012-08-22,-0.0022602384737197122,0.0017725591639158999,0.005844917205929961
2012-08-23,-0.002464206300952617,-0.006053351269770213,-0.001391273243384753
2012-08-24,0.0017058209921599831,-0.0035885174999949355,-0.003110186096598592
2012-08-27,0.0015048380419833975,-0.0032160207933969263,-0.0008363037739725786
2012-08-28,0.002590284534567616,0.0008288527662205832,0.0016837456587201836
